dataset,rows,test_auc,test_pr_auc,test_accuracy,test_f1,test_logloss
all_rows,240001,0.8553279096326654,0.8053005189270105,0.7794629278556696,0.7223708366115918,0.4628390025431989
primary_user_filtered,215569,0.8657193177447257,0.821432896961862,0.7881198682562509,0.7380645161290323,0.45175367335746863
