window_index,train_rows,test_rows,test_start_ts,test_end_ts,test_auc,test_pr_auc,test_accuracy,test_f1,test_logloss
1,150901,21556,2024-06-19T00:02:18Z,2024-12-05T00:13:08Z,0.8533693739962142,0.7037730754489128,0.800658749304138,0.6358165946266632,0.4257408829133129
2,172457,21556,2024-12-05T00:13:14Z,2025-08-12T22:23:05Z,0.8610115187522425,0.817628555674194,0.7853497866023381,0.7340651761595495,0.4577861017028272
3,194013,21556,2025-08-12T22:23:12Z,2026-02-18T23:59:16Z,0.8935774625405837,0.8574012261822732,0.8119317127481908,0.7694232738027528,0.4117142498761013
